time,target,action,lib,width,height,mem_before_mb,mem_after_mb,mem_delta_mb,cpu_pct,elapsed_s
2026-09-14 18:08:15,webcam#129,frame,opencv,1280,720,143.8,146.5,2.7,0.0,0.0254
2026-09-14 18:08:15,webcam#130,frame,opencv,1280,720,143.8,146.5,2.7,890.8,0.002
2026-09-14 18:08:15,webcam#131,frame,opencv,1280,720,143.8,146.5,2.7,399.3,0.0167
2026-09-14 18:08:15,webcam#132,frame,opencv,1280,720,143.8,146.5,2.7,0.0,0.0578
2026-09-14 18:08:15,webcam#133,frame,opencv,1280,720,143.8,146.5,2.7,49.3,0.0252
2026-09-14 18:08:15,webcam#134,frame,opencv,1280,720,143.8,146.5,2.7,46.7,0.0267
2026-09-14 18:08:15,webcam#135,frame,opencv,1280,720,143.8,146.5,2.7,52.6,0.0228
2026-09-14 18:08:15,webcam#136,frame,opencv,1280,720,143.8,146.5,2.7,49.3,0.0249
2026-09-14 18:08:15,webcam#137,frame,opencv,1280,720,143.8,146.5,2.7,46.8,0.0268
2026-09-14 18:08:15,webcam#138,frame,opencv,1280,720,143.8,146.5,2.7,0.0,0.0246
2026-09-14 18:08:15,webcam#139,frame,opencv,1280,720,143.8,146.5,2.7,48.9,0.0245
2026-09-14 18:08:15,webcam#140,frame,opencv,1280,720,143.8,146.5,2.7,0.0,0.0267
2026-09-14 18:08:15,webcam#141,frame,opencv,1280,720,143.8,146.5,2.7,0.0,0.0256
2026-09-14 18:08:16,webcam#142,frame,opencv,1280,720,143.8,146.5,2.7,0.0,0.04
2026-09-14 18:08:16,webcam#143,frame,opencv,1280,720,143.8,146.5,2.7,50.2,0.0243
2026-09-14 18:08:16,webcam#144,frame,opencv,1280,720,143.8,146.5,2.7,48.5,0.0256
2026-09-14 18:08:16,webcam#145,frame,opencv,1280,720,143.8,146.5,2.7,0.0,0.0263
2026-09-14 18:08:16,webcam#146,frame,opencv,1280,720,143.8,146.5,2.7,49.9,0.0237
2026-09-14 18:08:16,webcam#147,frame,opencv,1280,720,143.8,146.5,2.7,48.9,0.0251
2026-09-14 18:08:16,webcam#148,frame,opencv,1280,720,143.8,146.5,2.7,0.0,0.0252
2026-09-14 18:08:16,webcam#149,frame,opencv,1280,720,143.9,146.5,2.6,0.0,0.0253
2026-09-14 18:08:16,webcam#150,frame,opencv,1280,720,143.9,146.5,2.6,199.0,0.0247
2026-09-14 18:08:16,webcam#151,frame,opencv,1280,720,143.9,146.5,2.6,435.0,0.0257
2026-09-14 18:08:16,webcam#152,frame,opencv,1280,720,143.9,146.5,2.6,0.0,0.0251
2026-09-14 18:08:16,webcam#153,frame,opencv,1280,720,143.9,146.5,2.6,0.0,0.0246
2026-09-14 18:08:16,webcam#154,frame,opencv,1280,720,143.9,146.5,2.6,49.4,0.0248
2026-09-14 18:08:16,webcam#155,frame,opencv,1280,720,143.9,146.5,2.6,32.5,0.038
2026-09-14 18:08:16,webcam#156,frame,opencv,1280,720,143.9,146.5,2.6,0.0,0.0243
2026-09-14 18:08:16,webcam#157,frame,opencv,1280,720,143.9,146.5,2.6,0.0,0.0227
2026-09-14 18:08:16,webcam#158,frame,opencv,1280,720,143.9,146.5,2.6,98.2,0.0212
2026-09-14 18:08:16,webcam#159,frame,opencv,1280,720,143.9,146.5,2.6,0.0,0.024
2026-09-14 18:08:16,webcam#160,frame,opencv,1280,720,143.9,146.5,2.6,0.0,0.0207
2026-09-14 18:08:16,webcam#161,frame,opencv,1280,720,143.9,146.5,2.6,53.7,0.0217
2026-09-14 18:08:16,webcam#162,frame,opencv,1280,720,143.9,146.5,2.6,0.0,0.0186
2026-09-14 18:08:16,webcam#163,frame,opencv,1280,720,143.9,146.5,2.6,0.0,0.0218
2026-09-14 18:08:16,webcam#164,frame,opencv,1280,720,143.9,146.5,2.6,49.9,0.0232
2026-09-14 18:08:16,webcam#165,frame,opencv,1280,720,143.9,146.5,2.6,0.0,0.0255
2026-09-14 18:08:16,webcam#166,frame,opencv,1280,720,143.9,146.5,2.6,48.9,0.0237
2026-09-14 18:08:16,webcam#167,frame,opencv,1280,720,143.9,146.5,2.6,50.9,0.023
2026-09-14 18:08:16,webcam#168,frame,opencv,1280,720,143.9,146.5,2.6,226.7,0.0268
2026-09-14 18:08:16,webcam#169,frame,opencv,1280,720,143.9,146.5,2.6,0.0,0.0374
2026-09-14 18:08:16,webcam#170,frame,opencv,1280,720,143.9,146.5,2.6,238.9,0.0242
2026-09-14 18:08:16,webcam#171,frame,opencv,1280,720,143.9,146.5,2.6,299.2,0.0237
2026-09-14 18:08:17,webcam#172,frame,opencv,1280,720,143.9,146.5,2.6,0.0,0.0257
2026-09-14 18:08:17,webcam#173,frame,opencv,1280,720,143.9,146.5,2.6,0.0,0.0234
2026-09-14 18:08:17,webcam#174,frame,opencv,1280,720,143.9,146.5,2.6,48.1,0.0225
2026-09-14 18:08:17,webcam#175,frame,opencv,1280,720,143.9,146.5,2.6,0.0,0.0232
2026-09-14 18:08:17,webcam#176,frame,opencv,1280,720,143.9,146.5,2.6,98.9,0.0217
2026-09-14 18:08:17,webcam#177,frame,opencv,1280,720,143.9,146.5,2.6,96.5,0.0219
2026-09-14 18:08:17,webcam#178,frame,opencv,1280,720,143.9,146.5,2.6,48.4,0.0251
2026-09-14 18:08:17,webcam#179,frame,opencv,1280,720,143.9,146.5,2.6,95.4,0.0254
2026-09-14 18:08:17,webcam#180,frame,opencv,1280,720,143.9,146.5,2.6,101.3,0.0235
2026-09-14 18:08:17,webcam#181,frame,opencv,1280,720,143.9,146.5,2.6,48.3,0.024
2026-09-14 18:08:17,webcam#182,frame,opencv,1280,720,143.9,146.5,2.6,49.5,0.0205
2026-09-14 18:08:17,webcam#183,frame,opencv,1280,720,143.9,146.5,2.6,0.0,0.0416
2026-09-14 18:08:17,webcam#184,frame,opencv,1280,720,143.9,146.5,2.6,49.5,0.0237
2026-09-14 18:08:17,webcam#185,frame,opencv,1280,720,143.9,146.5,2.6,46.5,0.0268
2026-09-14 18:08:17,webcam#186,frame,opencv,1280,720,143.9,146.5,2.6,243.4,0.015
